"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.589180340E-1,-1.420307159E-2,1.476389170E-2,8.024358749E-2,8.281746841E-2
4.637134500E-1,-4.362869263E-2,1.286864281E-4,1.053185463E-1,1.139976999E-1
4.685088150E-1,-6.568241119E-2,1.379263401E-2,1.230351925E-1,1.401501855E-1
4.733042310E-1,-3.305339813E-2,-1.318114996E-2,1.358630657E-1,1.404458702E-1
4.780996480E-1,2.765369415E-2,-2.580547333E-2,1.438279152E-1,1.487182519E-1
4.828950650E-1,9.967517853E-2,-3.587150574E-2,1.258027554E-1,1.644634895E-1
4.876904810E-1,1.568241119E-1,-1.495081186E-2,1.104149818E-1,1.923767062E-1
4.924858980E-1,1.874971390E-1,-1.540845633E-2,1.143999100E-1,2.201816002E-1
4.972812630E-1,1.825733185E-1,5.673110485E-3,-3.757953644E-2,1.864870568E-1
5.020766790E-1,2.322063446E-1,-1.830953360E-2,1.270251274E-1,2.653119079E-1
5.068720960E-1,1.556911469E-1,-1.361840963E-2,1.524491310E-1,2.183252890E-1
5.116675130E-1,1.036128998E-1,-1.612848043E-2,1.610686779E-1,1.921949008E-1
5.164629290E-1,8.526420593E-2,2.699851990E-3,1.175827980E-1,1.452686766E-1
5.212582940E-1,8.136463165E-2,-1.887816191E-2,1.433529854E-1,1.659116232E-1
5.260537110E-1,9.654808044E-2,2.481579781E-3,1.097793579E-1,1.462162696E-1
5.308491270E-1,1.093740463E-1,-2.270996571E-3,8.865213394E-2,1.408085235E-1
5.356445440E-1,1.104154587E-1,3.710985184E-4,2.538490295E-2,1.132965336E-1
5.404399610E-1,1.542730331E-1,-8.520901203E-3,1.743984222E-2,1.554893006E-1
5.452353770E-1,2.002820969E-1,-9.810030460E-3,1.219844818E-2,2.008928997E-1
5.500307940E-1,1.843729019E-1,-1.069259644E-2,-2.250194550E-3,1.846964048E-1
5.548262110E-1,2.018547058E-1,-6.525278091E-3,1.902103424E-2,2.028538914E-1
5.596215750E-1,1.645841599E-1,1.212483644E-2,1.384830475E-2,1.656101835E-1
5.644169920E-1,1.251602173E-1,4.820585251E-3,5.825519562E-2,1.381375613E-1
5.692124090E-1,9.781742096E-2,1.918220520E-2,5.215215683E-2,1.124991213E-1
5.740078250E-1,4.455184937E-2,1.706504822E-2,4.119682312E-2,6.303381146E-2
5.788032420E-1,1.296997070E-3,2.470713854E-2,9.096145630E-3,2.636028758E-2
5.835986590E-1,-6.043243408E-2,6.099009514E-2,-3.669190407E-2,9.337112304E-2
5.883940230E-1,-9.545707703E-2,7.096034288E-2,-3.445792198E-2,1.238336473E-1
5.931894400E-1,-1.277618408E-1,9.264135361E-2,-3.447651863E-2,1.615368029E-1
5.979848560E-1,-1.597309113E-1,9.977108240E-2,-8.226871490E-3,1.885097194E-1
6.027802730E-1,-1.912879944E-1,1.066964865E-1,-1.506996155E-2,2.195503149E-1
6.075756900E-1,-1.698675156E-1,9.155929089E-3,-6.582450867E-2,1.824052352E-1
6.123711060E-1,-3.844223022E-1,-1.110048890E-1,-3.502275944E-1,5.317536645E-1
6.171665230E-1,-3.363199234E-1,-2.529886663E-1,-1.229759693E0,1.299778158E0
6.219618880E-1,-6.462764740E-2,-1.672462821E-1,-2.011106968E0,2.019083774E0
6.267573040E-1,-3.445739746E-1,2.472347021E-2,-9.583089352E-1,1.018674869E0
